City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Ponta Do Sol,PT,63.23,clear sky,32.6667,-17.1,Hotel do Campo
4,Busselton,AU,68.04,broken clouds,-33.65,115.3333,Observatory Guest House
5,Kavaratti,IN,77.52,few clouds,10.5669,72.642,Hotels in Lakshadweep Islands
6,Souillac,MU,77.38,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
7,New Norfolk,AU,77.88,clear sky,-42.7826,147.0587,The Shingles Riverside Cottages
8,Venice,US,60.98,mist,27.0998,-82.4543,A Beach Retreat On Casey Key
9,Rikitea,PF,79.0,few clouds,-23.1203,-134.9692,People ThankYou
11,Bac Lieu,VN,83.53,overcast clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
12,Ushuaia,AR,60.46,broken clouds,-54.8,-68.3,Albatross Hotel
13,Alofi,NU,82.29,overcast clouds,-19.0595,-169.9187,Taloa Heights
15,East London,ZA,71.08,overcast clouds,-33.0153,27.9116,Tu Casa
16,Matara,LK,77.36,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
17,Mendi,PG,71.51,overcast clouds,-6.1761,143.6513,Kiburu Lodge
18,Puerto Ayora,EC,73.54,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
20,Poum,NC,81.61,overcast clouds,-20.2333,164.0167,
21,Pisco,PE,67.01,scattered clouds,-13.7,-76.2167,Hotel San Isidro Oficial
22,Arraial Do Cabo,BR,75.79,clear sky,-22.9661,-42.0278,Pousada Porto Praia
23,Saldanha,ZA,62.65,scattered clouds,-33.0117,17.9442,Blue Bay Lodge
24,Chuy,UY,63.37,few clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
25,Pathein,MM,75.13,scattered clouds,16.7833,94.7333,New Pammawaddy Hotel
27,Hobart,AU,78.22,few clouds,-42.8794,147.3294,Mantra on Collins Hobart
28,Hithadhoo,MV,82.31,scattered clouds,-0.6,73.0833,Scoop Guest House
30,Nosy Varika,MG,75.11,overcast clouds,-20.5833,48.5333,Hotel Volazara
32,Hermanus,ZA,64.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
33,Mbanza-Ngungu,CD,67.05,light rain,-5.25,14.8667,Hotel Full Business
34,Wollongong,AU,75.92,light rain,-34.4333,150.8833,Flinders Motel
36,Saint-Georges,GD,78.48,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
37,Mataura,NZ,60.48,few clouds,-46.1927,168.8643,Ellie's Villa
45,Vaini,TO,77.16,moderate rain,-21.2,-175.2,Keleti Beach Resort
46,Ahuimanu,US,80.31,few clouds,21.4447,-157.8378,Paradise Bay Resort
47,Quatre Cocos,MU,77.11,light rain,-20.2078,57.7625,Sunrise Attitude Hotel
48,Bambanglipuro,ID,82.94,overcast clouds,-7.95,110.2833,Puri Brata
49,Faanui,PF,81.23,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
50,Jutai,BR,74.05,moderate rain,-5.1833,-68.9,
51,Cidreira,BR,69.22,clear sky,-30.1811,-50.2056,Hotel Castelo
52,Georgetown,MY,82.89,few clouds,5.4112,100.3354,Cititel Penang
54,Itaituba,BR,73.6,overcast clouds,-4.2761,-55.9836,Hotel Campos
56,Tuatapere,NZ,60.82,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
57,Sao Jose Da Coroa Grande,BR,78.73,scattered clouds,-8.8978,-35.1478,Crôa Mares Hotel
59,Atuona,PF,78.84,clear sky,-9.8,-139.0333,Villa Enata
60,Fonte Boa,BR,74.05,overcast clouds,-2.4959,-66.2662,
61,Batemans Bay,AU,75.2,broken clouds,-35.7167,150.1833,Batemans Bay Marina Resort
64,Port Alfred,ZA,73.96,overcast clouds,-33.5906,26.891,The Halyards Hotel
67,Brandon,US,61.38,mist,27.9378,-82.2859,Brandon Motor Lodge
68,Tefe,BR,73.96,overcast clouds,-3.3542,-64.7114,Aracati Hotel
69,Aripuana,BR,72.3,overcast clouds,-9.1667,-60.6333,
72,Humberto De Campos,BR,75.58,scattered clouds,-2.5983,-43.4611,Pousada do Cabeça
77,Labuhan,ID,82.18,overcast clouds,-6.8844,112.2051,DoubleFAG
79,Boulsa,BF,68.88,clear sky,12.6675,-0.5758,Auberge Relwende
80,Bambous Virieux,MU,77.25,light rain,-20.3428,57.7575,Casa Tia Villa
81,Port Lincoln,AU,79.43,clear sky,-34.7333,135.8667,Port Lincoln Hotel
82,Monywa,MM,62.55,few clouds,22.1167,95.1333,Monywa Hotel
83,Kawalu,ID,79.95,overcast clouds,-7.3817,108.2082,KOSAN UNGU UNSIK
85,Huarmey,PE,71.44,overcast clouds,-10.0681,-78.1522,Hotel Miramar
86,Hilo,US,76.24,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
88,Poro,PH,84.06,overcast clouds,10.6292,124.4087,RMS Travellers Inn
93,Oum Hadjer,TD,64.4,clear sky,13.2954,19.6966,
95,Marabba,SD,62.64,broken clouds,12.35,32.1833,
96,Saint-Philippe,RE,76.59,overcast clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
97,Ribeira Grande,PT,61.18,clear sky,38.5167,-28.7,Quinta da Meia Eira
99,Manta,EC,76.78,scattered clouds,-0.95,-80.7333,Balandra Hotel
100,Coihaique,CL,68.61,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
101,Gizo,SB,85.59,light rain,-8.103,156.8419,Imagination Island
102,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
105,Port Hedland,AU,80.65,light rain,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
107,Cape Town,ZA,64.27,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
112,Alice Springs,AU,85.55,clear sky,-23.7,133.8833,Desert Palms Alice Springs
