City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Zlobin,HR,45.2924,14.6541,43.38,84,75,5.75,broken clouds
1,Yaqui,MX,27.3667,-110.1667,58.91,59,0,11.52,clear sky
2,Kodiak,US,57.79,-152.4072,36.91,48,100,5.75,overcast clouds
3,Ponta Do Sol,PT,32.6667,-17.1,63.23,68,5,10.47,clear sky
4,Busselton,AU,-33.65,115.3333,68.04,56,65,20.0,broken clouds
5,Kavaratti,IN,10.5669,72.642,77.52,67,16,6.17,few clouds
6,Souillac,MU,-20.5167,57.5167,77.38,94,75,3.44,broken clouds
7,New Norfolk,AU,-42.7826,147.0587,77.88,30,0,1.99,clear sky
8,Venice,US,27.0998,-82.4543,60.98,96,0,3.44,mist
9,Rikitea,PF,-23.1203,-134.9692,79.0,71,24,19.19,few clouds
10,Narsaq,GL,60.9167,-46.05,8.82,81,100,8.08,overcast clouds
11,Bac Lieu,VN,9.285,105.7244,83.53,62,89,11.01,overcast clouds
12,Ushuaia,AR,-54.8,-68.3,60.46,67,75,12.66,broken clouds
13,Alofi,NU,-19.0595,-169.9187,82.29,83,100,4.61,overcast clouds
14,Santana Do Livramento,BR,-30.8908,-55.5328,58.84,54,0,5.57,clear sky
15,East London,ZA,-33.0153,27.9116,71.08,84,99,14.05,overcast clouds
16,Matara,LK,5.9485,80.5353,77.36,81,100,3.71,overcast clouds
17,Mendi,PG,-6.1761,143.6513,71.51,52,97,5.5,overcast clouds
18,Puerto Ayora,EC,-0.7393,-90.3518,73.54,93,19,4.0,few clouds
19,Cherskiy,RU,68.75,161.3,-27.71,99,23,0.34,few clouds
20,Poum,NC,-20.2333,164.0167,81.61,85,100,21.36,overcast clouds
21,Pisco,PE,-13.7,-76.2167,67.01,94,40,5.75,scattered clouds
22,Arraial Do Cabo,BR,-22.9661,-42.0278,75.79,90,0,20.27,clear sky
23,Saldanha,ZA,-33.0117,17.9442,62.65,99,32,7.25,scattered clouds
