City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Tautira,-17.7333,-149.15,86.02,74,75,19.86,PF,2022-02-06 23:20:41
1,Bowen,-20.0167,148.2333,78.87,64,36,14.56,AU,2022-02-06 23:20:41
2,Broome,42.2506,-75.833,25.92,74,0,1.01,US,2022-02-06 23:20:42
3,Kavieng,-2.5744,150.7967,83.01,73,50,2.95,PG,2022-02-06 23:17:37
4,Ushuaia,-54.8,-68.3,60.46,63,75,13.8,AR,2022-02-06 23:20:42
5,Tual,-5.6667,132.75,82.69,75,100,4.61,ID,2022-02-06 23:20:42
6,Punta Arenas,-53.15,-70.9167,53.71,82,75,10.36,CL,2022-02-06 23:20:43
7,Bandarbeyla,9.4942,50.8122,75.04,73,80,14.32,SO,2022-02-06 23:20:43
8,Puerto Ayora,-0.7393,-90.3518,76.55,89,38,5.01,EC,2022-02-06 23:20:43
9,Soyo,-6.1349,12.3689,77.11,85,53,6.67,AO,2022-02-06 23:20:43
10,Cape Town,-33.9258,18.4232,65.26,82,20,2.3,ZA,2022-02-06 23:20:44
11,Fort Abbas,29.1925,72.8536,57.0,49,0,8.81,PK,2022-02-06 23:20:44
12,Nanortalik,60.1432,-45.2371,17.71,65,100,28.7,GL,2022-02-06 23:19:56
13,Sorland,67.667,12.6934,36.14,62,100,11.97,NO,2022-02-06 23:20:44
14,Bengkulu,-3.8004,102.2655,74.68,89,97,8.37,ID,2022-02-06 23:20:44
15,Port Alfred,-33.5906,26.891,74.71,80,89,13.06,ZA,2022-02-06 23:19:37
16,Mahebourg,-20.4081,57.7,79.09,89,75,6.91,MU,2022-02-06 23:20:45
17,Maarianhamina,60.0973,19.9348,33.66,80,0,4.61,AX,2022-02-06 23:20:45
18,Atuona,-9.8,-139.0333,77.74,79,11,16.93,PF,2022-02-06 23:20:45
19,Busselton,-33.65,115.3333,57.09,63,68,18.81,AU,2022-02-06 23:20:45
20,Arraial Do Cabo,-22.9661,-42.0278,80.46,78,40,13.8,BR,2022-02-06 23:20:46
21,Mataura,-46.1927,168.8643,59.49,45,3,2.19,NZ,2022-02-06 23:20:46
22,Rikitea,-23.1203,-134.9692,79.3,70,3,17.92,PF,2022-02-06 23:20:46
23,New Norfolk,-42.7826,147.0587,70.66,48,2,1.99,AU,2022-02-06 23:16:02
24,Thompson,55.7435,-97.8558,-5.64,65,75,3.44,CA,2022-02-06 23:20:47
25,Vaini,-21.2,-175.2,77.16,94,100,11.5,TO,2022-02-06 23:20:47
26,Albany,42.6001,-73.9662,21.85,73,71,5.61,US,2022-02-06 23:20:30
27,Navoi,40.0844,65.3792,35.08,87,100,4.61,UZ,2022-02-06 23:20:47
28,Jamestown,42.097,-79.2353,33.39,45,0,7.0,US,2022-02-06 23:17:52
29,Torbay,47.6666,-52.7314,13.57,76,75,12.66,CA,2022-02-06 23:20:48
30,Deputatskiy,69.3,139.9,-35.19,98,75,5.41,RU,2022-02-06 23:20:48
31,Tandil,-37.3217,-59.1332,59.25,90,87,10.51,AR,2022-02-06 23:20:48
